Country Code,Region,IncomeGroup,SpecialNotes,TableName
AFE,,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",Africa Eastern and Southern
AFW,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",Africa Western and Central
ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,Arab World
CEB,,,Central Europe and the Baltics aggregate.,Central Europe and the Baltics
CSS,,,,Caribbean small states
EAP,,,,East Asia & Pacific (excluding high income)
EAR,,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,Early-demographic dividend
EAS,,,East Asia and Pacific regional aggregate (includes all income levels).,East Asia & Pacific
ECA,,,,Europe & Central Asia (excluding high income)
ECS,,,Europe and Central Asia regional aggregate (includes all income levels).,Europe & Central Asia
EMU,,,Euro area aggregate.,Euro area
EUU,,,European Union aggregate.,European Union
FCS,,,"Fragile and conflict-affected situations aggregate. Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",Fragile and conflict affected situations
HIC,,,"High income group aggregate. High-income economies are those in which 2021 GNI per capita was more than $13,205.",High income
HPC,,,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",Heavily indebted poor countries (HIPC)
IBD,,,IBRD only group aggregate.,IBRD only
IBT,,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",IDA & IBRD total
IDA,,,IDA total group aggregate (includes IDA only and IDA blend).,IDA total
IDB,,,IDA blend group aggregate.,IDA blend
IDX,,,IDA only group aggregate.,IDA only
LAC,,,,Latin America & Caribbean (excluding high income)
LCN,,,,Latin America & Caribbean
LDC,,,,Least developed countries: UN classification
LIC,,,"Low income group aggregate. Low-income economies are those in which 2021 GNI per capita was $1,085 or less.",Low income
LMC,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2021 GNI per capita was between $1,086 and $4,255.",Lower middle income
LMY,,,"Low and middle-income group aggregate. Low and middle-income economies are those in which 2021 GNI per capita was less than $13,205.",Low & middle income
LTE,,,Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.,Late-demographic dividend
MEA,,,Middle East and North Africa regional aggregate (includes all income levels).,Middle East & North Africa
MIC,,,"Middle income group aggregate. Middle-income economies are those in which 2021 GNI per capita was between $1,086 and $13,205.",Middle income
MNA,,,,Middle East & North Africa (excluding high income)
NAC,,,North America regional aggregate. There are no economies in North America classified as low or middle income.,North America
OED,,,,OECD members
OSS,,,,Other small states
PRE,,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",Pre-demographic dividend
PSS,,,Pacific island small states aggregate.,Pacific island small states
PST,,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,Post-demographic dividend
SAS,,,,South Asia
SSA,,,,Sub-Saharan Africa (excluding high income)
SSF,,,Sub-Saharan Africa regional aggregate (includes all income levels).,Sub-Saharan Africa
SST,,,Small states (members of the Small States Forum) aggregate.,Small states
TEA,,,East Asia & Pacific (IDA & IBRD countries) aggregate.,East Asia & Pacific (IDA & IBRD)
TEC,,,Europe & Central Asia (IDA & IBRD countries) aggregate.,Europe & Central Asia (IDA & IBRD)
TLA,,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,Latin America & Caribbean (IDA & IBRD)
TMN,,,Middle East & North Africa (IDA & IBRD countries) aggregate.,Middle East & North Africa (IDA & IBRD)
TSA,,,South Asia (IDA & IBRD countries) aggregate.,South Asia (IDA & IBRD)
TSS,,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.,Sub-Saharan Africa (IDA & IBRD)
UMC,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2021 GNI per capita was between $4,256 and $13,205.",Upper middle income
VEN,Latin America & Caribbean,,,"Venezuela, RB"
WLD,,,World aggregate.,World
